usd_cleaning_fee,f_property_type,f_room_type,f_room_type2,f_cancellation_policy,f_bed_type,f_neighbourhood_cleansed,usd_price_day,p_host_response_rate,n_accommodates,n_bathrooms,n_review_scores_rating,n_number_of_reviews,n_guests_included,n_reviews_per_month,n_extra_people,n_minimum_nights,n_beds,n_days_since,d_24hourcheckin,d_airconditioning,d_breakfast,d_buzzerwirelessintercom,d_cabletv,d_carbonmonoxidedetector,d_cats,d_dogs,d_doorman,d_doormanentry,d_dryer,d_elevatorinbuilding,d_essentials,d_familykidfriendly,d_fireextinguisher,d_firstaidkit,d_freeparkingonpremises,d_freeparkingonstreet,d_gym,d_hairdryer,d_hangers,d_heating,d_hottub,d_indoorfireplace,d_internet,d_iron,d_keypad,d_kitchen,d_laptopfriendlyworkspace,d_lockonbedroomdoor,d_lockbox,d_otherpets,d_paidparkingoffpremises,d_petsallowed,d_petsliveonthisproperty,d_pool,d_privateentrance,d_privatelivingroom,d_safetycard,d_selfcheckin,d_shampoo,d_smartlock,d_smokedetector,d_smokingallowed,d_suitableforevents,d_tv,d_washer,d_washerdryer,d_wheelchairaccessible,d_wirelessinternet,price,neighbourhood_cleansed,cancellation_policy,room_type,property_type,ln_price,n_accommodates2,ln_accommodates,ln_accommodates2,ln_beds,f_bathroom,ln_number_of_reviews,f_number_of_reviews,ln_days_since,ln_days_since2,ln_days_since3,n_days_since2,n_days_since3,ln_review_scores_rating,f_minimum_nights
NA,Apartment,Private room,Private,flexible,Real Bed,Hackney,65,100,2,1.5,92,3,1,0.06,10,1,1,1467,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,65,Hackney,flexible,Private room,Apartment,4.174387269895637,4,0.6931471805599453,0.4804530139182014,0,1,1.3862943611198906,1,7.2909747781429814,53.1583132155171,387.57592090295987,2152089,3157114563,4.5217885770490405,1
NA,House,Private room,Private,moderate,Real Bed,Hackney,30,NA,2,3,90,2,1,0.1,0,1,1,573,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,30,Hackney,moderate,Private room,House,3.4011973816621555,4,0.6931471805599453,0.4804530139182014,0,2,1.0986122886681098,1,6.35088571671474,40.333749386771295,256.1550328819977,328329,188132517,4.499809670330265,1
NA,Apartment,Private room,Private,moderate,Couch,Hackney,150,100,7,1.5,97,32,1,0.55,10,2,5,1739,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,1,150,Hackney,moderate,Private room,Apartment,5.0106352940962555,49,1.9459101490553132,3.7865663081964716,1.6094379124341003,1,3.4965075614664802,1,7.461065514354283,55.66749860948674,415.33885414560655,3024121,5258946419,4.574710978503383,2
25,House,Private room,Private,moderate,Real Bed,Hackney,29,100,2,1.5,94,52,1,2.62,0,1,1,593,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,29,Hackney,moderate,Private room,House,3.367295829986474,4,0.6931471805599453,0.4804530139182014,0,1,3.970291913552122,2,6.385194398997726,40.770707512991926,260.32889325513054,351649,208527857,4.543294782270004,1
20,Apartment,Entire home/apt,Entire/Apt,moderate,Real Bed,Hackney,65,100,2,1,88,55,3,1.13,0,2,2,1463,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,65,Hackney,moderate,Entire home/apt,Apartment,4.174387269895637,4,0.6931471805599453,0.4804530139182014,0.6931471805599453,1,4.02535169073515,2,7.288244401020124,53.11850644900119,387.1406572174843,2140369,3131359847,4.477336814478207,2
30,Apartment,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,165,100,5,2,100,2,1,0.08,0,2,2,797,1,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,165,Hackney,strict,Entire home/apt,Apartment,5.10594547390058,25,1.6094379124341003,2.5902903939802346,0.6931471805599453,2,1.0986122886681098,1,6.680854678790215,44.63381923911311,298.19206009590556,635209,506261573,4.605170185988092,2
30,Apartment,Entire home/apt,Entire/Apt,moderate,Real Bed,Hackney,95,NA,3,1,96,27,1,0.78,0,2,1,1037,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,95,Hackney,moderate,Entire home/apt,Apartment,4.553876891600541,9,1.0986122886681098,1.206948960812582,0,1,3.332204510175204,1,6.9440872082295275,48.22034715549695,334.8462958588735,1075369,1115157653,4.564348191467836,2
15,House,Entire home/apt,Entire/Apt,moderate,Real Bed,Hackney,65,100,4,1,100,3,2,0.69,5,2,2,130,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,65,Hackney,moderate,Entire home/apt,House,4.174387269895637,16,1.3862943611198906,1.9218120556728056,0.6931471805599453,1,1.3862943611198906,1,4.867534450455582,23.692891626371928,115.32596622227594,16900,2197000,4.605170185988092,2
NA,Apartment,Private room,Private,moderate,Real Bed,Hackney,28,100,2,1,90,2,1,0.34,0,1,1,174,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,28,Hackney,moderate,Private room,Apartment,3.332204510175204,4,0.6931471805599453,0.4804530139182014,0,1,1.0986122886681098,1,5.159055299214529,26.615851580353514,137.3126501387302,30276,5268024,4.499809670330265,1
30,House,Entire home/apt,Entire/Apt,moderate,Real Bed,Hackney,156,100,6,2,NA,0,4,NA,0,1,4,NA,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,156,Hackney,moderate,Entire home/apt,House,5.049856007249537,36,1.791759469228055,3.210401995568401,1.3862943611198906,2,0,0,NA,NA,NA,NA,NA,NA,1
